,stadium_name,stadium_location,stadium_open,stadium_close,stadium_type,stadium_address,stadium_weather_station_code,stadium_weather_type,stadium_capacity,stadium_surface,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION
0,Acrisure Stadium,"Pittsburgh, PA",2001.0,NULL,outdoor,"100 Art Rooney Ave, Pittsburgh, PA 15212",15212,cold,"65,500",Grass,USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7
1,Alamo Dome,"San Antonio, TX",NULL,NULL,indoor,"100 Montana St, San Antonio, TX 78203",78203,dome,72000,FieldTurf,NULL,NULL,NULL,NULL,NULL
2,Allegiant Stadium,"Paradise, NV",2020.0,NULL,indoor,NULL,NULL,dome,65000,Grass,NULL,NULL,NULL,NULL,NULL
3,Allianz Arena,"Munich, Germany",NULL,NULL,outdoor,NULL,NULL,moderate,"75,024",Grass,NULL,NULL,NULL,NULL,NULL
4,Alltel Stadium,"Jacksonville, FL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,Alumni Stadium,"Chestnut Hill, MA",NULL,NULL,outdoor,"Perimeter Rd, Chestnut Hill, MA 02467",2467,cold,NULL,Grass,NULL,NULL,NULL,NULL,NULL
6,Anaheim Stadium,"Anaheim, CA",1980.0,1994.0,outdoor,"2000 E Gene Autry Way, Anaheim, CA 92806",92806,warm,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,Arrowhead Stadium,"Kansas City, MO",1972.0,NULL,outdoor,"1 Arrowhead Dr, Kansas City, MO 64129",64129,cold,"76,416",Grass,US1MOJC0028,"KANSAS CITY 5.1 SE, MO US",39.0692,-94.4871,264.9
8,AT&T Stadium,"Arlington, TX",2009.0,NULL,retractable,"1 AT&T Way, Arlington, TX 76011",76011,dome,"80,000",FieldTurf,USC00410337,"ARLINGTON SIX FLAGS, TX US",32.7572,-97.0736,163.4
9,Atlanta-Fulton County Stadium,"Atlanta, GA",1966.0,1991.0,outdoor,"521 Capitol Avenue SE, Atlanta, Georgia 30312",30312,warm,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,Balboa Stadium,"San Diego, CA",NULL,NULL,outdoor,"Balboa Stadium, San Diego, CA 92101",92101,warm,NULL,Grass,NULL,NULL,NULL,NULL,NULL
11,Bank of America Stadium,"Charlotte, NC",1996.0,2016.0,outdoor,"800 S Mint St, Charlotte, NC 28202",28202,moderate,"73,778",Grass,USW00013881,"CHARLOTTE DOUGLAS AIRPORT, NC US",35.2236,-80.9552,221.9
12,Bills Stadium,"Orchard Park, NY",1973.0,NULL,outdoor,"1 Bills Dr, Orchard Park, NY 14127",14127,cold,"73,967",FieldTurf,US1NYER0093,"BUFFALO 1.5 W, NY US",42.888999999999996,-78.8901,178.0
13,Busch Memorial Stadium,"St. Louis, MO",1966.0,1995.0,outdoor,"700 Clark Ave, St. Louis, MO 63102",63102,cold,NULL,NULL,USC00238791,"WEBSTER GROVES, MO US",38.56667,-90.36667,189.0
14,Caesars Superdome,"New Orleans, LA",1975.0,NULL,indoor,"1500 Sugar Bowl Dr, New Orleans, LA 70112",70112,dome,"76,468",FieldTurf,NULL,NULL,NULL,NULL,NULL
15,Candlestick Park,"San Francisco, CA",1960.0,2013.0,outdoor,"490 Jamestown Ave, San Francisco, CA 94124",94124,moderate,NULL,NULL,USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4
16,CenturyLink Field,"Seattle, WA",2002.0,NULL,outdoor,"800 Occidental Ave S, Seattle, WA 98134",98134,moderate,"67,000",FieldTurf,US1WAKG0038,"SEATTLE 3.5 NW, WA US",47.6523,-122.4095,93.0
17,Cinergy Field,"Cincinnati, OH",1970.0,1999.0,outdoor,"201 East Joe Nuxhall Way, Cincinnati 45202",45202,cold,NULL,NULL,USW00003871,"CINCINNATI WEATHER SERVICE OFFICE CITY, OH US",39.1,-84.51666999999999,193.9
18,Cleveland Municipal Stadium,"Cleveland, OH",1931.0,1995.0,outdoor,"1085 West 3rd Street, Cleveland, Ohio 44114",44114,cold,NULL,NULL,USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.4057,-81.852,238.0
19,Cotton Bowl,"Dallas, TX",NULL,NULL,outdoor,"1300 Robert B Cullum Blvd., Dallas, TX 75210",75210,moderate,NULL,"Grass, Turf (1970-1971)",NULL,NULL,NULL,NULL,NULL
20,Cowboys Stadium,"Arlington, TX",2009.0,NULL,retractable,"1 AT&T Way, Arlington, TX 76011",76011,dome,"80,000",FieldTurf,USC00410337,"ARLINGTON SIX FLAGS, TX US",32.7572,-97.0736,163.4
21,Dolphin Stadium,"Miami, FL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,Edward Jones Dome,"St. Louis, MO",1995.0,NULL,indoor,"901 N Broadway, St. Louis, MO 63101",63101,dome,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,Empower Field at Mile High,"Denver, CO",2001.0,NULL,outdoor,"1701 Bryant St, Denver, CO 80204",80204,cold,"76,125",Grass,USW00023062,"DENVER STAPLETON, CO US",39.7633,-104.8694,1611.2
24,Estadio Azteca,"Mexico City, Mexico",1966.0,NULL,outdoor,"Calz. de Tlalpan 3465, Sta. 神rsula Coapa, Coyoac_�肱, 04650 Ciudad de M＼xico, D.F., Mexico","Mexico City, MX",warm,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,EverBank Field,"Jacksonville, FL",1995.0,NULL,outdoor,"1 Everbank Field Dr, Jacksonville, FL 32202",32202,warm,"67,264",Grass,USW00093837,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1
26,FedEx Field,"Landover, MD",1997.0,2016.0,outdoor,"1600 Fedex Way, Hyattsville, MD 20785",20785,moderate,"79,000",Grass,USC00186350,"NATIONAL ARBORETUM DC, MD US",38.9133,-76.97,15.2
27,Fenway Park,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,FirstEnergy Stadium,"Cleveland, OH",1999.0,NULL,outdoor,"100 Alfred Lerner Way, Cleveland, OH 44114",44114,cold,"68,000",Grass,USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.4057,-81.852,238.0
29,Ford Field,"Detroit, MI",2002.0,NULL,indoor,"2000 Brush St, Detroit, MI 48226",48226,dome,"65,000",FieldTurf,NULL,NULL,NULL,NULL,NULL
30,Foxboro Stadium,"Foxborough, MA",1971.0,2001.0,outdoor,"1 Patriot Pl, Foxborough, MA 02035",2035,cold,NULL,NULL,USC00190860,"BROCKTON, MA US",42.0479,-71.005,24.4
31,Franklin Field,"Philadelphia, PA",NULL,NULL,outdoor,"S. 33rd and Spruce St., Philadelphia, PA 19104",19104,cold,NULL,"Grass, Turf (1969-1970)",NULL,NULL,NULL,NULL,NULL
32,GEHA Field at Arrowhead Stadium,"Kansas City, MO",1972.0,NULL,outdoor,"1 Arrowhead Dr, Kansas City, MO 64129",64129,cold,"76,416",Grass,US1MOJC0028,"KANSAS CITY 5.1 SE, MO US",39.0692,-94.4871,264.9
33,Georgia Dome,"Atlanta, GA",1992.0,NULL,indoor,"1 Georgia Dome Dr, Atlanta, GA 30313",30313,dome,"71,250",FieldTurf,NULL,NULL,NULL,NULL,NULL
34,Giants Stadium,"East Rutherford, NJ",1976.0,2009.0,outdoor,"1 MetLife Stadium Dr, East Rutherford, NJ 07073",7073,cold,NULL,NULL,USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1
35,Gillette Stadium,"Foxborough, MA",2002.0,NULL,outdoor,"1 Patriot Pl, Foxborough, MA 02035",2035,cold,"68,756",FieldTurf,USC00190860,"BROCKTON, MA US",42.0479,-71.005,24.4
36,Hard Rock Stadium,"Miami Gardens, FL",1987.0,NULL,outdoor,"347 Don Shula Dr, Miami Gardens, FL 33056",33056,warm,"65,326",Grass,USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7905,-80.3163,8.8
37,Harvard Stadium,"Boston, MA",1970.0,1970.0,outdoor,"95 N Harvard St., Boston, MA 02134",2134,cold,"70,000",Grass,NULL,NULL,NULL,NULL,NULL
38,Heinz Field,"Pittsburgh, PA",2001.0,NULL,outdoor,"100 Art Rooney Ave, Pittsburgh, PA 15212",15212,cold,"65,500",Grass,USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7
39,Highmark Stadium,"Orchard Park, NY",1973.0,NULL,outdoor,"1 Bills Dr, Orchard Park, NY 14127",14127,cold,"73,967",FieldTurf,US1NYER0093,"BUFFALO 1.5 W, NY US",42.888999999999996,-78.8901,178.0
40,Houlihan's Stadium,"Tampa, FL",1969.0,1997.0,outdoor,"4201 North Dale Mabry Highway, Tampa, Florida 33607",33607,warm,NULL,NULL,USW00012842,"TAMPA INTERNATIONAL AIRPORT, FL US",27.961940000000002,-82.5403,5.8
41,Houston Astrodome,"Houston, TX",1968.0,1996.0,indoor,"Houston, TX 77054",77054,dome,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,Hubert H. Humphrey Metrodome,"Minneapolis, MN",1982.0,2009.0,indoor,"900 S 5th St, Minneapolis, MN 55415",55415,dome,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,Husky Stadium,"Seattle, WA",2000.0,2001.0,outdoor,"University of Washington, 3800 Montlake Blvd NE, Seattle, WA 98195",98195,moderate,NULL,NULL,US1WAKG0038,"SEATTLE 3.5 NW, WA US",47.6523,-122.4095,93.0
44,Jack Murphy Stadium,"San Diego, CA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,Joe Robbie Stadium,"Miami, FL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,Kansas City Municipal Stadium,"Kansas City, MO",NULL,NULL,outdoor,"Brooklyn Ave & E. 22nd St., Kansas City, MO 64127",64127,cold,NULL,Grass,NULL,NULL,NULL,NULL,NULL
47,Kezar Stadium,"San Francisco, CA",NULL,1970.0,outdoor,"755 Stanyan Street, San Francisco, California 94117",94117,moderate,NULL,Grass,NULL,NULL,NULL,NULL,NULL
48,Lambeau Field,"Green Bay, WI",1957.0,NULL,outdoor,"1265 Lombardi Ave, Green Bay, WI 54304",54304,cold,"80,735",Grass,USW00014898,"GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT, WI US",44.4794,-88.1366,209.4
49,Legion Field,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,Levi's Stadium,"Santa Clara, CA",2014.0,2016.0,outdoor,"4900 Marie P. DeBartolo Way, Santa Clara, CA 95054",95054,moderate,"68,500",Grass,USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4
51,Liberty Bowl Memorial Stadium,"Memphis, TN",1997.0,1997.0,outdoor,"335 S Hollywood St, Memphis, TN 38104",38104,moderate,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,Lincoln Financial Field,"Philadelphia, PA",2003.0,NULL,outdoor,"1020 Pattison Ave, Philadelphia, PA 19148",19148,cold,"69,176",Grass,USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0
53,Los Angeles Memorial Coliseum,"Los Angeles, CA",1946.0,NULL,outdoor,"3911 S Figueroa St, Los Angeles, CA 90037",90037,warm,"93,605",Grass,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6
54,Louisiana Superdome,"New Orleans, LA",1975.0,NULL,indoor,"1500 Sugar Bowl Dr, New Orleans, LA 70112",70112,dome,"76,468",FieldTurf,NULL,NULL,NULL,NULL,NULL
55,LP Stadium,"Nashville, TN",1999.0,2016.0,outdoor,"1 Titans Way, Nashville, TN 37213",37213,moderate,"69,143",Grass,USW00013897,"NASHVILLE INTERNATIONAL AIRPORT, TN US",36.11889,-86.68916999999999,182.9
56,Lucas Oil Stadium,"Indianapolis, IN",2008.0,NULL,retractable,"500 S Capitol Ave, Indianapolis, IN 46225",46225,dome,"63,000",FieldTurf,US1INMR0076,"INDIANAPOLIS 6.8 NNE, IN US",39.8721,-86.1201,227.1
